XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
2057.915639,0.099264
2058.156698,0.078142
2058.397756,0.052692
2058.638815,0.041697
2058.879873,0.044897
2059.120932,0.062985
2059.361990,0.106420
2059.603048,0.182255
2059.844107,0.248386
2060.085165,0.215120
2060.326224,0.134013
2060.567282,0.078582
2060.808340,0.053325
2061.049399,0.047277
2061.290457,0.057851
2061.531516,0.083850
2061.772574,0.104095
2062.013632,0.091709
2062.254691,0.062123
2062.495749,0.042586
2062.736808,0.036747
2062.977866,0.038073
2063.218924,0.044044
2063.459983,0.058598
2063.701041,0.092227
2063.942100,0.158879
2064.183158,0.256066
2064.424217,0.304444
2064.665275,0.227479
2064.906333,0.137084
2065.147392,0.096362
2065.388450,0.097950
2065.629509,0.112139
2065.870567,0.103156
2066.111625,0.072573
2066.352684,0.048246
2066.593742,0.038004
2066.834801,0.035854
2067.075859,0.037057
2067.316917,0.040463
2067.557976,0.046924
2067.799034,0.060170
2068.040093,0.089152
2068.281151,0.148037
2068.522209,0.247185
2068.763268,0.349305
2069.004326,0.338834
2069.245385,0.261123
2069.486443,0.198826
2069.727502,0.145039
2069.968560,0.095396
2070.209618,0.061736
2070.450677,0.046083
2070.691735,0.040625
2070.932794,0.038999
2071.173852,0.039127
2071.414910,0.040785
2071.655969,0.044514
2071.897027,0.051687
2072.138086,0.065659
2072.379144,0.094141
2072.620202,0.150165
2072.861261,0.248038
2073.102319,0.379226
2073.343378,0.414086
2073.584436,0.292890
2073.825494,0.178680
2074.066553,0.109660
2074.307611,0.074067
2074.548670,0.057226
